time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.7,0.1,0.45,0.0,0.0,0.0
1,1.35,0.35,0.3875,0.0,0.3,0.3
2,1.9000000000000001,0.5,0.2625,0.0,0.3,0.3
3,2.4250000000000003,0.725,0.2875,0.0,0.2,0.2
4,2.9750000000000005,1.075,0.3625,0.0,0.2,0.2
5,3.5250000000000004,1.4249999999999998,0.3375,0.0,0.25,0.25
6,4.025,1.9249999999999998,0.325,0.0,0.25,0.25
7,4.550000000000001,2.3499999999999996,0.3375,0.0,0.25,0.25
8,5.275,2.5749999999999997,0.475,0.0,0.25,0.25
9,5.75,2.7499999999999996,0.225,0.0,0.0,0.0
